status,ticket_id,priority,channel,topic,agent_group,agent_name,created_time,first_response_time,resolution_time,survey_results,product_group,support_level,country,creation_hours,first_response_hours,response_hours,SLA_status
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-10 09:42:12,2023-01-10 10:30:03,2023-01-12 01:12:11,,Other,Tier 1,Germany,9.70,10.50,0.80,Compliant
Closed,1080,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-10 03:17:26,2023-01-10 03:17:37,2023-01-10 13:22:16,3,Training and Consulting Services,Tier 1,Spain,3.29,3.29,0.00,Compliant
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 04:29:04,2023-01-10 04:29:36,,,Custom software development,Tier 1,Austria,4.48,4.49,0.01,Compliant
Closed,1082,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-01-10 20:59:34,2023-01-10 21:00:38,2023-01-12 17:31:37,5,Custom software development,Tier 1,Poland,20.99,21.01,0.02,Compliant
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 23:30:30,2023-01-10 23:31:13,2023-01-12 00:58:24,,Ready to use Software,Tier 1,Poland,23.51,23.52,0.01,Compliant
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,2023-01-10 10:14:54,2023-01-10 11:06:45,2023-01-11 20:40:17,,Other,Tier 1,United Kingdom,10.25,11.11,0.86,Compliant
Closed,1085,High,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 07:30:22,2023-01-10 07:31:48,2023-01-10 10:50:31,5,Ready to use Software,Tier 1,Germany,7.51,7.53,0.02,Compliant
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-10 17:16:11,2023-01-10 17:44:05,2023-01-12 07:22:03,,Ready to use Software,Tier 1,Germany,17.27,17.73,0.47,Compliant
Closed,1087,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-01-11 19:17:35,2023-01-11 19:18:54,2023-01-11 20:05:34,5,Ready to use Software,Tier 2,Italy,19.29,19.32,0.02,Compliant
Closed,1088,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-11 11:24:14,2023-01-11 11:25:37,2023-01-11 20:49:43,4,Training and Consulting Services,Tier 1,Spain,11.40,11.43,0.02,Compliant
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-01-11 00:49:24,2023-01-11 00:50:16,2023-01-11 14:39:13,,Ready to use Software,Tier 1,Italy,0.82,0.84,0.01,Compliant
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-11 12:31:52,2023-01-11 12:31:53,2023-01-12 12:24:21,,Custom software development,Tier 1,Germany,12.53,12.53,0.00,Compliant
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-11 13:45:35,2023-01-11 14:12:45,2023-01-12 00:00:02,,Custom software development,Tier 1,United Kingdom,13.76,14.21,0.45,Compliant
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-11 04:04:47,2023-01-11 04:05:35,2023-01-11 19:03:32,,Ready to use Software,Tier 1,Czech Republic,4.08,4.09,0.01,Compliant
Closed,1095,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-01-11 13:40:47,2023-01-11 13:43:27,2023-01-16 11:43:29,1,Custom software development,Tier 1,Czech Republic,13.68,13.72,0.04,Compliant
Closed,1097,Low,Email,Product setup,1st line support,Bernard Beckley,2023-01-11 05:29:41,2023-01-11 06:04:14,2023-01-11 17:24:42,1,Ready to use Software,Tier 1,Austria,5.49,6.07,0.58,Compliant
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-12 12:18:45,2023-01-12 12:19:19,,,Ready to use Software,Tier 1,Poland,12.31,12.32,0.01,Compliant
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,2023-01-12 22:40:11,2023-01-12 22:47:09,2023-01-13 13:58:23,,Custom software development,Tier 2,Italy,22.67,22.79,0.12,Compliant
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,2023-01-13 15:00:14,2023-01-13 15:00:36,2023-01-14 02:58:00,,Ready to use Software,Tier 1,Austria,15.00,15.01,0.01,Compliant
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,2023-01-13 15:16:58,2023-01-13 15:17:31,2023-01-13 21:16:39,,Ready to use Software,Tier 2,Germany,15.28,15.29,0.01,Compliant
Resolved,1103,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-13 12:58:56,2023-01-13 12:59:40,2023-01-13 13:19:55,,Ready to use Software,Tier 1,Bulgaria,12.98,12.99,0.01,Compliant
Closed,1104,Low,Email,Feature request,1st line support,Connor Danielovitch,2023-01-13 13:30:46,2023-01-13 13:37:07,2023-01-15 09:50:57,5,Other,Tier 1,Italy,13.51,13.62,0.11,Compliant
Closed,1105,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-01-13 06:47:37,2023-01-13 06:49:36,2023-01-13 09:11:25,3,Other,Tier 1,Italy,6.79,6.83,0.03,Compliant
In progress,1106,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-13 23:18:45,2023-01-13 23:20:44,,,Custom software development,Tier 1,Germany,23.31,23.35,0.03,Compliant
Closed,1107,Low,Email,Bug report,2nd line support,Michele Whyatt,2023-01-13 11:19:44,2023-01-13 11:34:08,2023-01-15 08:05:25,5,Ready to use Software,Tier 2,Republic of Ireland,11.33,11.57,0.24,Compliant
Closed,1108,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,2023-01-13 02:10:18,2023-01-13 03:28:05,2023-01-14 05:07:24,4,Ready to use Software,Tier 1,Czech Republic,2.17,3.47,1.30,Compliant
Closed,1109,High,Chat,Product setup,1st line support,Nicola Wane,2023-01-13 13:38:30,2023-01-13 13:38:54,2023-01-13 15:29:47,3,Training and Consulting Services,Tier 1,France,13.64,13.65,0.01,Compliant
Closed,1110,High,Email,Product setup,2nd line support,Adolpho Messingham,2023-01-13 21:32:08,2023-01-13 22:27:03,2023-01-15 14:06:02,2,Ready to use Software,Tier 2,United Kingdom,21.54,22.45,0.92,Compliant
In progress,1111,Low,Chat,Product setup,1st line support,Sheela Cutten,2023-01-13 02:49:26,2023-01-13 02:52:28,,,Ready to use Software,Tier 1,Spain,2.82,2.87,0.05,Compliant
In progress,1112,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,2023-01-13 02:22:58,2023-01-13 02:23:44,,,Ready to use Software,Tier 1,Republic of Ireland,2.38,2.40,0.01,Compliant
Resolved,1113,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-13 01:46:37,2023-01-13 01:46:51,2023-01-17 07:29:52,,Custom software development,Tier 1,Germany,1.78,1.78,0.00,Compliant
Closed,1114,Medium,Email,Product setup,1st line support,Connor Danielovitch,2023-01-13 07:20:20,2023-01-13 08:01:52,2023-01-15 06:43:44,5,Other,Tier 1,Poland,7.34,8.03,0.69,Compliant
Resolved,1115,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-13 23:22:08,2023-01-13 23:22:16,2023-01-14 05:14:59,,Ready to use Software,Tier 1,Germany,23.37,23.37,0.00,Compliant
Resolved,1116,Medium,Phone,Pricing and licensing,1st line support,Nicola Wane,2023-01-14 22:53:23,2023-01-14 22:54:39,2023-01-16 03:46:01,,Training and Consulting Services,Tier 1,United Kingdom,22.89,22.91,0.02,Compliant
Closed,1126,Medium,Phone,Pricing and licensing,1st line support,Kristos Westoll,2023-01-15 13:10:36,2023-01-15 13:11:22,2023-01-19 09:22:44,1,Custom software development,Tier 1,United Kingdom,13.18,13.19,0.01,Compliant
Resolved,1127,High,Email,Product setup,1st line support,Bernard Beckley,2023-01-15 06:08:54,2023-01-15 06:47:30,2023-01-15 07:23:23,,Other,Tier 1,Czech Republic,6.15,6.79,0.64,Compliant
Closed,1128,Low,Email,Other,1st line support,Bernard Beckley,2023-01-15 10:11:34,2023-01-15 11:03:48,2023-01-17 07:11:51,3,Ready to use Software,Tier 1,Germany,10.19,11.06,0.87,Compliant
Closed,1129,High,Phone,Pricing and licensing,1st line support,Kristos Westoll,2023-01-15 02:01:36,2023-01-15 02:02:21,2023-01-16 14:49:45,5,Custom software development,Tier 1,Slovenia,2.03,2.04,0.01,Compliant
In progress,1130,Medium,Chat,Product setup,1st line support,Connor Danielovitch,2023-01-16 05:12:59,2023-01-16 05:14:35,,,Ready to use Software,Tier 1,Spain,5.22,5.24,0.03,Compliant
Closed,1131,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-16 20:38:34,2023-01-16 21:35:39,2023-01-16 22:40:39,5,Ready to use Software,Tier 1,Czech Republic,20.64,21.59,0.95,Compliant
Closed,1132,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-16 15:44:20,2023-01-16 16:39:29,2023-01-17 12:05:13,3,Training and Consulting Services,Tier 1,Austria,15.74,16.66,0.92,Compliant
Resolved,1133,High,Chat,Product setup,1st line support,Bernard Beckley,2023-01-16 19:19:41,2023-01-16 19:19:49,2023-01-17 12:08:15,,Ready to use Software,Tier 1,Bulgaria,19.33,19.33,0.00,Compliant
Closed,1134,Low,Chat,Product setup,1st line support,Sheela Cutten,2023-01-16 12:50:35,2023-01-16 12:51:00,2023-01-16 17:37:43,5,Custom software development,Tier 1,Spain,12.84,12.85,0.01,Compliant
Resolved,1135,Low,Phone,Bug report,2nd line support,Adolpho Messingham,2023-01-16 14:37:40,2023-01-16 14:40:47,2023-01-16 19:04:14,,Training and Consulting Services,Tier 2,Poland,14.63,14.68,0.05,Compliant
Resolved,1136,Low,Email,Bug report,1st line support,Sheela Cutten,2023-01-16 15:35:28,2023-01-16 16:08:02,2023-01-17 11:41:22,,Ready to use Software,Tier 1,Germany,15.59,16.13,0.54,Compliant
Resolved,1137,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-16 07:57:01,2023-01-16 08:11:48,2023-01-18 02:08:32,,Ready to use Software,Tier 1,Italy,7.95,8.20,0.25,Compliant
Resolved,1138,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-17 01:30:29,2023-01-17 08:53:20,2023-01-18 08:04:50,,Ready to use Software,Tier 2,Spain,1.51,8.89,7.38,Breached
Closed,1139,Low,Chat,Feature request,1st line support,Nicola Wane,2023-01-17 11:23:12,2023-01-17 11:27:11,2023-01-17 23:26:57,1,Custom software development,Tier 1,Italy,11.39,11.45,0.07,Compliant
Resolved,1140,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-17 14:03:25,2023-01-17 14:03:47,2023-01-23 08:16:17,,Training and Consulting Services,Tier 1,Greece,14.06,14.06,0.01,Compliant
Resolved,1141,Low,Chat,Other,1st line support,Nicola Wane,2023-01-17 00:04:06,2023-01-17 00:04:29,2023-01-18 05:24:11,,Ready to use Software,Tier 1,Germany,0.07,0.07,0.01,Compliant
Closed,1142,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-01-17 16:42:23,2023-01-17 17:00:19,2023-01-18 19:31:50,1,Ready to use Software,Tier 1,Greece,16.71,17.01,0.30,Compliant
Resolved,1143,Low,Email,Other,2nd line support,Adolpho Messingham,2023-01-17 23:31:47,2023-01-18 00:19:55,2023-01-18 01:20:43,,Training and Consulting Services,Tier 2,Republic of Ireland,23.53,0.33,23.20,Breached
Closed,1144,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-01-17 23:24:52,2023-01-18 00:24:45,2023-01-18 18:49:55,4,Ready to use Software,Tier 1,Republic of Ireland,23.41,0.41,23.00,Breached
Resolved,1145,Medium,Email,Product setup,1st line support,Nicola Wane,2023-01-17 15:52:09,2023-01-17 16:29:17,2023-01-18 11:55:59,,Ready to use Software,Tier 1,France,15.87,16.49,0.62,Compliant
Closed,1146,Low,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-18 02:02:20,2023-01-18 02:41:38,2023-01-19 07:13:39,3,Ready to use Software,Tier 2,Italy,2.04,2.69,0.66,Compliant
Closed,1147,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-18 10:59:28,2023-01-18 17:43:11,2023-01-19 23:48:34,3,Custom software development,Tier 1,Germany,10.99,17.72,6.73,Breached
Closed,1148,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-18 08:59:26,2023-01-18 09:18:43,2023-01-19 04:42:50,3,Ready to use Software,Tier 1,Italy,8.99,9.31,0.32,Compliant
In progress,1149,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-01-18 02:50:49,2023-01-18 02:52:09,,,Custom software development,Tier 1,Italy,2.85,2.87,0.02,Compliant
Closed,1150,Low,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-01-18 03:19:26,2023-01-18 03:37:53,2023-01-19 20:11:35,1,Other,Tier 1,Slovenia,3.32,3.63,0.31,Compliant
Closed,1151,High,Chat,Product setup,1st line support,Nicola Wane,2023-01-18 06:48:43,2023-01-18 06:50:22,2023-01-18 08:03:41,2,Ready to use Software,Tier 1,United Kingdom,6.81,6.84,0.03,Compliant
Closed,1152,Medium,Phone,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-18 01:34:28,2023-01-18 02:56:45,2023-01-18 13:22:05,3,Ready to use Software,Tier 2,Bulgaria,1.57,2.95,1.37,Compliant
Closed,1153,Medium,Chat,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-18 02:18:40,2023-01-18 02:20:38,2023-01-19 00:48:35,4,Ready to use Software,Tier 2,Germany,2.31,2.34,0.03,Compliant
Resolved,1154,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-18 07:25:42,2023-01-18 08:25:00,2023-01-19 15:14:33,,Other,Tier 1,Italy,7.43,8.42,0.99,Compliant
Closed,1155,Medium,Chat,Feature request,2nd line support,Michele Whyatt,2023-01-18 15:27:11,2023-01-18 15:27:12,2023-01-19 10:11:09,3,Custom software development,Tier 2,United Kingdom,15.45,15.45,0.00,Compliant
Resolved,1156,Medium,Email,Other,2nd line support,Heather Urry,2023-01-18 04:20:21,2023-01-18 05:08:18,2023-01-18 08:09:37,,Training and Consulting Services,Tier 2,France,4.34,5.14,0.80,Compliant
Resolved,1157,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-18 22:25:35,2023-01-18 22:26:20,2023-01-19 03:42:59,,Ready to use Software,Tier 1,Greece,22.43,22.44,0.01,Compliant
Closed,1158,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-01-18 18:08:37,2023-01-18 18:09:33,2023-01-18 21:55:19,3,Custom software development,Tier 1,Republic of Ireland,18.14,18.16,0.02,Compliant
Closed,1159,Low,Chat,Product setup,2nd line support,Heather Urry,2023-01-19 19:54:37,2023-01-19 19:57:48,2023-01-20 08:53:35,5,Training and Consulting Services,Tier 2,United Kingdom,19.91,19.96,0.05,Compliant
Resolved,1160,Low,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-01-19 09:56:57,2023-01-19 09:58:32,2023-01-19 21:24:39,,Ready to use Software,Tier 2,Italy,9.95,9.98,0.03,Compliant
In progress,1161,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-19 11:56:06,2023-01-19 12:55:03,,,Other,Tier 2,Slovenia,11.94,12.92,0.98,Compliant
Closed,1162,Medium,Email,Product setup,1st line support,Bernard Beckley,2023-01-19 01:28:08,2023-01-19 01:41:57,2023-01-20 16:50:03,5,Training and Consulting Services,Tier 1,France,1.47,1.70,0.23,Compliant
